20:15:48	Sharky Faction	Yuzuki Kush	?
22:43:37	Rain	Orochimaru	.
22:43:44	Rain	Orochimaru	o.o
22:43:48	Rain	Orochimaru	chunnin?
22:45:00	Rain	Orochimaru	where r u
23:00:19	Rain	Orochimaru	Exte
23:00:36	Rain	Orochimaru	you need to start sending out the link and get this game running.
23:01:37	Rain	Orochimaru	What needs fixed?
23:02:34	Rain	Orochimaru	You should ad adjustable screen aswell.
23:02:49	Rain	Orochimaru	then this game will be dope 2 the max.
23:02:52	Rain	Orochimaru	lol
23:03:16	Rain	Orochimaru	I like this game alot i honestlywould start playing it now if it werentfor the lack of players.
23:03:38	Rain	Orochimaru	idk , i was jking. lol
23:04:10	Rain	Orochimaru	Oh. lol how many players do you usally get base?
23:04:33	Rain	Orochimaru	:O
23:04:47	Rain	Orochimaru	Well. i&#39;ll help.
23:05:05	Rain	Orochimaru	When it&#39;s ready how long untill this game is ready and specific time?
23:05:54	Rain	Orochimaru	I can host my connection is op and i can run it none stop, the only problem is.. i dont know how to host.
23:06:07	Rain	Orochimaru	And ohi see.
23:06:37	Rain	Orochimaru	oh lol 
23:07:09	Rain	Orochimaru	Wellwhen this game startsrunnin think i could take the spot of ame leader you know i have the skill.
23:09:25	Rain	Orochimaru	Well, yeah but if it were to ever let happen would you consider me leader i wouldnt let that happen id keep this faction at the min, of a 11 players.
23:09:34	Rain	Orochimaru	10 *
