21:26:29	Uchiha M4CHiiN	Uchiha M4CHiiN	i wanna put it up already before i starting thinking of quiting byond getting bored af.
21:26:49	Exteban	Exteban	same
21:27:01	Uchiha M4CHiiN3	Uchiha M4CHiiN3	ah man
21:27:04	Uchiha M4CHiiN3	Uchiha M4CHiiN3	Negro kid ?
21:27:07	Uchiha M4CHiiN3	Uchiha M4CHiiN3	he around o.o
21:27:36	Yassrab	Yassrab	I cant beleive my eyes
21:27:49	Exteban	Exteban	?
21:27:50	Uchiha M4CHiiN3	Uchiha M4CHiiN3	...
21:27:56	Yassrab	Yassrab	Hosting it again?
21:28:05	Exteban	Exteban	officials becoming crap
21:28:14	Yassrab	Yassrab	no shiet, 
21:28:14	Uchiha M4CHiiN3	Uchiha M4CHiiN3	*__*
21:28:17	Yassrab	Yassrab	It was always shiet
21:28:33	Exteban	Exteban	everything that dan wanted
21:28:36	Exteban	Exteban	ill make here
21:28:40	Yassrab	Yassrab	Ext this game had so much potentail 
21:28:43	Uchiha M4CHiiN3	Uchiha M4CHiiN3	^
21:28:45	Yassrab	Yassrab	Do it up
21:28:47	Uchiha M4CHiiN3	Uchiha M4CHiiN3	*cough*
21:28:49	Uchiha M4CHiiN3	Uchiha M4CHiiN3	cough
21:28:53	Uchiha Nemesis	Uchiha Nemesis	yo
21:29:15	Yassrab	Yassrab	What do ya say ex, lets revive this game
21:29:24	Exteban	Exteban	your late
21:29:25	Uchiha M4CHiiN3	Uchiha M4CHiiN3	true dat.
21:29:26	Uchiha M4CHiiN3	Uchiha M4CHiiN3	ikr
21:29:28	Uchiha M4CHiiN3	Uchiha M4CHiiN3	:)
21:29:30	Exteban	Exteban	already doing that
21:29:38	Yassrab	Yassrab	No one tells me this shiet okay -_-
21:29:40	Uchiha M4CHiiN3	Uchiha M4CHiiN3	BAM
21:29:41	Yassrab	Yassrab	you dam leafies
21:29:45	Exteban	Exteban	**** kiri
21:29:49	Yassrab	Yassrab	**** you
21:29:51	Exteban	Exteban	xD
21:29:54	Yassrab	Yassrab	3
21:29:57	Yassrab	Yassrab	&lt;3 *
21:30:00	Uchiha Nemesis	Uchiha Nemesis	someone doesnt like where officials is headed
21:30:13	Yassrab	Yassrab	this game&gt; officails
21:30:18	Uchiha M4CHiiN3	Uchiha M4CHiiN3	Exte you can handle 15 + players o.o
21:30:19	Exteban	Exteban	kage bunshin got removed
21:30:25	Exteban	Exteban	me = quit officials
21:30:31	Uchiha Nemesis	Uchiha Nemesis	this game has all sorts of epic unbalances
21:30:42	Exteban	Exteban	unbalances?
21:30:47	Uchiha Nemesis	Uchiha Nemesis	here we go again :D
21:30:56	Exteban	Exteban	name them plz
21:31:00	Uchiha Nemesis	Uchiha Nemesis	JASHIN
21:31:05	Yassrab	Yassrab	-_-
21:31:06	Exteban	Exteban	fished
21:31:09	Exteban	Exteban	fixed*
21:31:10	Yassrab	Yassrab	Nemesis
21:31:14	Yassrab	Yassrab	everything was fixed
21:31:14	Exteban	Exteban	keep it coming gogogo
21:31:20	Yassrab	Yassrab	everything!
21:31:20	Uchiha Nemesis	Uchiha Nemesis	windblade?
21:31:25	Exteban	Exteban	nerfed
21:31:26	Uchiha Nemesis	Uchiha Nemesis	aki?
21:31:31	Exteban	Exteban	nerfed
21:31:40	Uchiha Nemesis	Uchiha Nemesis	gen?
21:31:55	Uchiha M4CHiiN3	Uchiha M4CHiiN3	O.O didnt know gen could be op
21:31:56	Uchiha M4CHiiN3	Uchiha M4CHiiN3	:/
21:31:57	Exteban	Exteban	completelly normal (no stuns or crap like that)
21:32:02	Uchiha Nemesis	Uchiha Nemesis	so it sucks
21:32:08	Exteban	Exteban	or not
21:32:12	Uchiha Nemesis	Uchiha Nemesis	or yes
21:32:16	Yassrab	Yassrab	Sigh*
21:32:17	Uchiha Nemesis	Uchiha Nemesis	sleep is pointless
21:32:19	Yassrab	Yassrab	So childish
21:32:30	Yassrab	Yassrab	oops
21:32:30	Exteban	Exteban	just cus you cant use gen effectivelly doesnt mean it sucks
21:32:31	Uchiha Nemesis	Uchiha Nemesis	new kawa?
21:32:43	Uchiha Nemesis	Uchiha Nemesis	its only 1 stun i dont need to kawa vs anything else
21:33:22	Uchiha Nemesis	Uchiha Nemesis	i was one of the best gen users on officials anyways you telling me i suck is ridiculous
21:34:14	Yassrab	Yassrab	dam gaurds
21:34:30	Uchiha M4CHiiN3	Uchiha M4CHiiN3	well time to do mish
21:34:53	Yassrab	Yassrab	whats the plan boss
21:35:40	Yassrab	Yassrab	Negro abuses announce too much
21:35:47	Exteban	Exteban	need to test the crap that i added...
21:36:34	Yassrab	Yassrab	Sounds good
21:36:46	Exteban	Exteban	i added alot of poop from officials...
21:36:54	Exteban	Exteban	that i made
21:37:01	Yassrab	Yassrab	lmao like?
21:37:01	Exteban	Exteban	for them but never gave them
21:37:21	Exteban	Exteban	chakra blades
21:38:15	Exteban	Exteban	chose a sword
21:38:18	Exteban	Exteban	say one
21:38:28	Yassrab	Yassrab	decap?
21:38:35	Exteban	Exteban	ur ruthy?
21:38:38	Yassrab	Yassrab	Jashin
21:38:41	Exteban	Exteban	ah
21:39:16	Yassrab	Yassrab	What other swords you got?
21:39:26	Exteban	Exteban	all 7sm
21:40:12	Yassrab	Yassrab	u gotta change this admin abuse
21:40:16	Yassrab	Yassrab	if you want the game to run
21:40:22	Exteban	Exteban	i will dont worry
21:40:30	Exteban	Exteban	ill be only one with all verbs
21:40:36	Yassrab	Yassrab	Good stuff
21:42:36	Yassrab	Yassrab	wth
21:42:37	Yassrab	Yassrab	;/
21:44:46	Exteban	Exteban	i need to fix these damm icons...
21:44:55	Yassrab	Yassrab	yah the circles
21:47:31	Yassrab	Yassrab	whys it blue
21:47:54	Exteban	Exteban	gotta fix it
21:49:15	Exteban	Exteban	attacj me
21:50:33	Exteban	Exteban	lol
21:50:37	Yassrab	Yassrab	lool
21:50:46	Yassrab	Yassrab	eff u
21:50:54	Yassrab	Yassrab	whats the time limit on this
21:52:05	Exteban	Exteban	ur there?
21:52:09	Exteban	Exteban	attack
21:52:24	Exteban	Exteban	hmm
21:52:55	Yassrab	Yassrab	was that
21:52:56	Exteban	Exteban	~dmg?
21:53:02	Exteban	Exteban	none?
21:53:05	Yassrab	Yassrab	You took 1500 Stamina damage from Exteban! ... You took 900 Stamina damage from Exteban!
21:53:07	Uchiha Nemesis	Uchiha Nemesis	ec ill show you out
21:53:12	Exteban	Exteban	from this?
21:53:22	Uchiha Nemesis	Uchiha Nemesis	oh shut up
21:53:23	Yassrab	Yassrab	yah that water thing pretty sure
21:53:24	Uchiha M4CHiiN3	Uchiha M4CHiiN3	still look good...
21:53:25	Uchiha M4CHiiN3	Uchiha M4CHiiN3	lmao
21:53:27	Uchiha M4CHiiN3	Uchiha M4CHiiN3	:D
21:53:30	Uchiha Nemesis	Uchiha Nemesis	it was right there
21:53:40	Uchiha Nemesis	Uchiha Nemesis	see it now?
21:53:46	Uchiha Nemesis	Uchiha Nemesis	or its only me
21:53:47	Exteban	Exteban	boil release
21:53:48	Uchiha M4CHiiN3	Uchiha M4CHiiN3	nope ?
21:53:53	Exteban	Exteban	H Balance = Two ... PH Balance = Three ... PH Balance = Four ... PH Balance = Five ... PH Balance = Six ... 
21:53:55	Uchiha Nemesis	Uchiha Nemesis	i took a pick
21:53:58	Uchiha M4CHiiN3	Uchiha M4CHiiN3	Transform is such a wast of coding
21:53:59	Uchiha M4CHiiN3	Uchiha M4CHiiN3	:/
21:54:00	Yassrab	Yassrab	You took 1200 Stamina damage from Exteban! ... You took 600 Stamina damage from Exteban! ... You took 300 Stamina damage from Exteban!
21:54:32	Konoha Guard	Uchiha M4CHiiN3	hell you go
21:54:59	Exteban	Exteban	boil dragon bullet
21:55:01	Exteban	Exteban	=)
21:55:19	Yassrab	Yassrab	next smg
21:55:22	Yassrab	Yassrab	dmg*
21:55:32	Yassrab	Yassrab	Your body is slowly corroding due to the mist ... Your body is slowly corroding due to the mist
21:55:37	Yassrab	Yassrab	kept spamming me with this
21:56:04	Yassrab	Yassrab	got any cool clothes?
21:56:34	Exteban	Exteban	got some new
21:56:39	Exteban	Exteban	but didnt code them yet
21:56:48	Yassrab	Yassrab	cool cool
21:57:52	Yassrab	Yassrab	no dmg 
21:57:55	Exteban	Exteban	hmm
21:58:12	Exteban	Exteban	~ik why
21:58:13	Exteban	Exteban	...
21:58:17	Exteban	Exteban	need to fix this
21:58:59	Yassrab	Yassrab	oh snap
21:59:10	Hyuuga 1Hits	Hyuuga 1Hits	É
21:59:34	Yassrab	Yassrab	kyuubi is sickk
21:59:41	Exteban	Exteban	=)
22:00:02	Uchiha Nemesis	Uchiha Nemesis	dc
22:00:08	Uchiha Nemesis	Uchiha Nemesis	damn gotta go bacjk
22:00:10	Uchiha M4CHiiN3	Uchiha M4CHiiN3	oh.
22:00:12	Uchiha Nemesis	Uchiha Nemesis	no mission qq
22:00:21	Hyuuga 1Hits	Hyuuga 1Hits	O_O
22:00:22	Exteban	Exteban	can i kill you real fast?
22:00:26	Yassrab	Yassrab	Sure
22:00:47	Yassrab	Yassrab	petal dance
22:01:07	Hyuuga 1Hits	Hyuuga 1Hits	anyone who wanna mission meet kh
22:02:24	Yassrab	Yassrab	lool?
22:02:32	Exteban	Exteban	forgot to add the icon &gt;.&lt;
22:02:52	Yassrab	Yassrab	to op
22:03:00	Exteban	Exteban	?
22:03:10	Yassrab	Yassrab	talking abotu myself :)
22:03:29	Yassrab	Yassrab	36 lol
22:05:27	Yassrab	Yassrab	whats tht
22:05:31	Exteban	Exteban	snake hands
22:05:36	Exteban	Exteban	orochimaru tech
22:05:40	Yassrab	Yassrab	ah nice
22:05:59	Exteban	Exteban	o.o
22:06:15	Yassrab	Yassrab	lool
22:06:23	Yassrab	Yassrab	skin pick up?
22:06:28	Yassrab	Yassrab	thatd be op for jashins
22:06:41	Exteban	Exteban	this crap isnt working...
22:06:44	Exteban	Exteban	meh **** it
22:06:47	Exteban	Exteban	wont add it
22:08:25	Yassrab	Yassrab	lotus
22:12:43	Uchiha M4CHiiN3	Uchiha M4CHiiN3	exte . . 
22:12:52	Hyuuga 1Hits	Hyuuga 1Hits	1hit
22:12:56	Hyuuga 1Hits	Hyuuga 1Hits	1HIT
22:12:59	Hyuuga 1Hits	Hyuuga 1Hits	1Hit
